model_a,model_b,rbo,normalised,ceiling,depth_a,depth_b,weight_covered,p
llama3.3-70b-or,minimax-m2.5-or,0.01315058406080986,0.01660225289006563,0.7920963587224261,8,29,0.5695327899999999,0.9
deepseek-v4p,gpt5-mini-or,0.13301436456945578,0.15142398624146103,0.8784233454094306,20,20,0.8784233454094306,0.9
deepseek-v4p,deepseek-v4f,0.37003469244235765,0.40729731334564867,0.908512480484573,20,23,0.8784233454094306,0.9
deepseek-v4p,gpt-oss-120b-or,0.09520948077794358,0.10838678329247582,0.8784233454094306,20,20,0.8784233454094306,0.9
deepseek-v4p,minimax-m2.5-or,0.12000896141814459,0.12762149378421184,0.940350703158679,20,29,0.8784233454094306,0.9
gpt5-mini-or,deepseek-v4f,0.031214911304133744,0.034358263617341456,0.908512480484573,20,23,0.8784233454094306,0.9
gpt5-mini-or,gpt-oss-120b-or,0.18557755035883317,0.2112620882956338,0.8784233454094306,20,20,0.8784233454094306,0.9
gpt5-mini-or,minimax-m2.5-or,0.166271289700091,0.176818381845814,0.940350703158679,20,29,0.8784233454094306,0.9
deepseek-v4f,gpt-oss-120b-or,0.019116088367440755,0.02104108504623383,0.908512480484573,23,20,0.8784233454094306,0.9
deepseek-v4f,minimax-m2.5-or,0.12758941659802056,0.13459018213914162,0.9479845748786969,23,29,0.9113706188034748,0.9
gpt-oss-120b-or,minimax-m2.5-or,0.0793027893165541,0.0843332057392764,0.940350703158679,20,29,0.8784233454094306,0.9
