k,from,to,k_effective_a,k_effective_b,hits,rate,chance,lift,truncated_a,truncated_b
20,minimax-m2.5-or,llama3.3-70b-or,18,9,6,0.333333,0.157895,0.175439,1,1
20,minimax-m2.5-or,gemma3-1b-qat,18,40,15,0.833333,0.701754,0.131579,1,0
20,minimax-m2.5-or,gemini3-flash-or,18,11,5,0.277778,0.192982,0.084795,1,1
20,minimax-m2.5-or,haiku-4.5-direct,18,9,5,0.277778,0.157895,0.119883,1,1
20,minimax-m2.5-or,gpt-oss-120b-or,18,20,14,0.777778,0.350877,0.426901,1,1
20,minimax-m2.5-or,gpt5-mini-or,18,14,10,0.555556,0.245614,0.309942,1,1
20,llama3.3-70b-or,gemma3-1b,9,40,7,0.777778,0.701754,0.076023,1,0
20,llama3.3-70b-or,deepseek-v4f,9,18,5,0.555556,0.315789,0.239766,1,1
20,llama3.3-70b-or,deepseek-v4p,9,15,6,0.666667,0.263158,0.403509,1,1
20,llama3.3-70b-or,gemma4-31b-or,9,7,4,0.444444,0.122807,0.321637,1,1
20,llama3.3-70b-or,mistral-large-or,9,12,6,0.666667,0.210526,0.456140,1,1
20,llama3.3-70b-or,minimax-m2.5-or,9,18,6,0.666667,0.315789,0.350877,1,1
20,llama3.3-70b-or,gemma3-1b-qat,9,40,8,0.888889,0.701754,0.187135,1,0
20,llama3.3-70b-or,gemini3-flash-or,9,11,5,0.555556,0.192982,0.362573,1,1
20,llama3.3-70b-or,haiku-4.5-direct,9,9,4,0.444444,0.157895,0.286550,1,1
20,llama3.3-70b-or,gpt-oss-120b-or,9,20,6,0.666667,0.350877,0.315789,1,1
20,llama3.3-70b-or,gpt5-mini-or,9,14,6,0.666667,0.245614,0.421053,1,1
20,gemma3-1b-qat,gemma3-1b,20,40,17,0.850000,0.701754,0.148246,0,0
20,gemma3-1b-qat,deepseek-v4f,20,18,6,0.300000,0.315789,-0.015789,0,1
20,gemma3-1b-qat,deepseek-v4p,20,15,4,0.200000,0.263158,-0.063158,0,1
20,gemma3-1b-qat,gemma4-31b-or,20,7,4,0.200000,0.122807,0.077193,0,1
20,gemma3-1b-qat,mistral-large-or,20,12,6,0.300000,0.210526,0.089474,0,1
20,gemma3-1b-qat,minimax-m2.5-or,20,18,7,0.350000,0.315789,0.034211,0,1
20,gemma3-1b-qat,llama3.3-70b-or,20,9,5,0.250000,0.157895,0.092105,0,1
20,gemma3-1b-qat,gemini3-flash-or,20,11,8,0.400000,0.192982,0.207018,0,1
20,gemma3-1b-qat,haiku-4.5-direct,20,9,5,0.250000,0.157895,0.092105,0,1
20,gemma3-1b-qat,gpt-oss-120b-or,20,20,7,0.350000,0.350877,-0.000877,0,1
20,gemma3-1b-qat,gpt5-mini-or,20,14,4,0.200000,0.245614,-0.045614,0,1
20,gemini3-flash-or,gemma3-1b,11,40,8,0.727273,0.701754,0.025518,1,0
20,gemini3-flash-or,deepseek-v4f,11,18,6,0.545455,0.315789,0.229665,1,1
20,gemini3-flash-or,deepseek-v4p,11,15,5,0.454545,0.263158,0.191388,1,1
20,gemini3-flash-or,gemma4-31b-or,11,7,4,0.363636,0.122807,0.240829,1,1
20,gemini3-flash-or,mistral-large-or,11,12,6,0.545455,0.210526,0.334928,1,1
20,gemini3-flash-or,minimax-m2.5-or,11,18,5,0.454545,0.315789,0.138756,1,1
20,gemini3-flash-or,llama3.3-70b-or,11,9,5,0.454545,0.157895,0.296651,1,1
20,gemini3-flash-or,gemma3-1b-qat,11,40,10,0.909091,0.701754,0.207337,1,0
20,gemini3-flash-or,haiku-4.5-direct,11,9,3,0.272727,0.157895,0.114833,1,1
20,gemini3-flash-or,gpt-oss-120b-or,11,20,6,0.545455,0.350877,0.194577,1,1
20,gemini3-flash-or,gpt5-mini-or,11,14,6,0.545455,0.245614,0.299841,1,1
20,haiku-4.5-direct,gemma3-1b,9,40,6,0.666667,0.701754,-0.035088,1,0
20,haiku-4.5-direct,deepseek-v4f,9,18,6,0.666667,0.315789,0.350877,1,1
20,haiku-4.5-direct,deepseek-v4p,9,15,5,0.555556,0.263158,0.292398,1,1
20,haiku-4.5-direct,gemma4-31b-or,9,7,4,0.444444,0.122807,0.321637,1,1
20,haiku-4.5-direct,mistral-large-or,9,12,5,0.555556,0.210526,0.345029,1,1
20,haiku-4.5-direct,minimax-m2.5-or,9,18,5,0.555556,0.315789,0.239766,1,1
20,haiku-4.5-direct,llama3.3-70b-or,9,9,4,0.444444,0.157895,0.286550,1,1
20,haiku-4.5-direct,gemma3-1b-qat,9,40,8,0.888889,0.701754,0.187135,1,0
20,haiku-4.5-direct,gemini3-flash-or,9,11,3,0.333333,0.192982,0.140351,1,1
20,haiku-4.5-direct,gpt-oss-120b-or,9,20,4,0.444444,0.350877,0.093567,1,1
20,haiku-4.5-direct,gpt5-mini-or,9,14,4,0.444444,0.245614,0.198830,1,1
20,gpt-oss-120b-or,gemma3-1b,20,40,14,0.700000,0.701754,-0.001754,0,0
20,gpt-oss-120b-or,deepseek-v4f,20,18,10,0.500000,0.315789,0.184211,0,1
20,gpt-oss-120b-or,deepseek-v4p,20,15,7,0.350000,0.263158,0.086842,0,1
20,gpt-oss-120b-or,gemma4-31b-or,20,7,5,0.250000,0.122807,0.127193,0,1
