model,leaf,family,field,n_items,n_instances,n_runs,flipped,wobble,dropped,absent,parse_failure_rate
gemini3-flash-or,preference_seniority,priced_equity,preference_seniority,11,11,220,0,0.000000,0,0,0.004545
gemini3-flash-or,dividend_rate_pct,priced_equity,dividend_rate_pct,6,6,120,0,0.000000,0,0,0.000000
gemini3-flash-or,dividend_cumulative,priced_equity,dividend_cumulative,16,16,320,0,0.000000,0,0,0.000000
gemini3-flash-or,antidilution_type,priced_equity,antidilution_type,5,5,100,0,0.000000,0,0,0.000000
gemini3-flash-or,antidilution_base,priced_equity,antidilution_base,10,10,200,0,0.000000,0,0,0.000000
gemini3-flash-or,conversion_ratio,priced_equity,conversion_ratio,5,5,100,0,0.000000,0,0,0.000000
gemini3-flash-or,auto_conversion_trigger,priced_equity,auto_conversion_trigger,5,5,100,0,0.000000,0,0,0.000000
gemini3-flash-or,redemption_rights,priced_equity,redemption_rights,10,10,200,0,0.000000,0,0,0.000000
gemini3-flash-or,safe_valuation_cap,convertibles,safe_valuation_cap,8,8,160,0,0.000000,0,0,0.000000
gemini3-flash-or,safe_discount_rate,convertibles,safe_discount_rate,9,9,180,0,0.000000,0,0,0.000000
gemini3-flash-or,safe_cap_vs_discount_applies,convertibles,safe_cap_vs_discount_applies,13,13,260,0,0.000000,0,0,0.000000
gemini3-flash-or,safe_pre_post,convertibles,safe_cap_type,16,16,320,0,0.000000,0,0,0.003125
gemini3-flash-or,safe_mfn_present,convertibles,safe_mfn_present,7,7,140,0,0.000000,0,0,0.000000
gemini3-flash-or,safe_pro_rata_side_letter,convertibles,safe_pro_rata_side_letter,15,15,300,0,0.000000,0,0,0.003333
gemini3-flash-or,note_principal,convertibles,note_principal,7,7,140,0,0.000000,0,0,0.000000
gemini3-flash-or,note_interest_rate,convertibles,note_interest_rate,6,6,120,0,0.000000,0,0,0.000000
gemini3-flash-or,note_maturity_date,convertibles,note_maturity_date,3,4,80,0,0.000000,0,0,0.000000
gemini3-flash-or,note_valuation_cap,convertibles,note_valuation_cap,4,4,80,0,0.000000,0,0,0.000000
gemini3-flash-or,note_discount,convertibles,note_discount,4,4,80,0,0.000000,0,0,0.000000
gemini3-flash-or,note_qualified_financing_threshold,convertibles,note_qualified_financing_threshold,2,2,40,0,0.000000,0,0,0.000000
gemini3-flash-or,current_ownership_pct,cap_table,current_ownership_pct,9,9,180,0,0.000000,0,0,0.000000
gemini3-flash-or,founder_ownership_pct,cap_table,founder_ownership_pct,3,3,60,0,0.000000,0,0,0.000000
gemini3-flash-or,investor_ownership_pct,cap_table,investor_ownership_pct,4,4,80,0,0.000000,0,0,0.000000
gemini3-flash-or,employee_pool_pct,cap_table,employee_pool_pct,1,1,20,0,0.000000,0,0,0.000000
gemini3-flash-or,option_pool_shuffle,cap_table,option_pool_shuffle,3,3,60,2,0.666667,0,0,0.000000
gemini3-flash-or,fully_diluted_basis,cap_table,fully_diluted_basis,8,8,160,0,0.000000,0,0,0.000000
gemini3-flash-or,multi_round_stacked_dilution,cap_table,multi_round_stacked_dilution,5,5,100,0,0.000000,0,0,0.000000
gemini3-flash-or,liquidation_waterfall_payout,exit_waterfall,liquidation_waterfall_payout,4,4,80,1,0.250000,0,0,0.000000
gemini3-flash-or,preference_stack_payout,exit_waterfall,preference_stack_payout,2,2,40,0,0.000000,0,0,0.000000
gemini3-flash-or,convert_vs_preference_decision,exit_waterfall,convert_vs_preference_decision,2,2,40,0,0.000000,0,0,0.000000
gemini3-flash-or,board_seats_investor,rights_governance,board_seats_investor,9,9,180,1,0.111111,0,0,0.000000
gemini3-flash-or,protective_provisions,rights_governance,protective_provisions,12,12,240,0,0.000000,0,0,0.000000
gemini3-flash-or,information_rights,rights_governance,information_rights,12,12,240,0,0.000000,0,0,0.000000
gemini3-flash-or,pro_rata_rights,rights_governance,pro_rata_rights,12,12,240,0,0.000000,0,0,0.000000
gemini3-flash-or,rofr_cosale,rights_governance,rofr_cosale,12,12,240,0,0.000000,0,0,0.000000
gemini3-flash-or,drag_along,rights_governance,drag_along,12,12,240,0,0.000000,0,0,0.004167
gemini3-flash-or,vesting_acceleration,rights_governance,vesting_acceleration,9,9,180,0,0.000000,0,0,0.000000
gemini3-flash-or,vesting_schedule,founder_equity,vesting_schedule,9,9,180,0,0.000000,0,0,0.000000
gemini3-flash-or,cliff_present,founder_equity,cliff_present,12,12,240,0,0.000000,0,0,0.000000
gemini3-flash-or,acceleration_trigger,founder_equity,acceleration_trigger,13,13,260,0,0.000000,0,0,0.000000
gemini3-flash-or,option_strike_409a,founder_equity,option_strike_409a,7,7,140,0,0.000000,0,0,0.000000
gemini3-flash-or,exercise_window,founder_equity,exercise_window,5,5,100,0,0.000000,0,0,0.000000
gemini3-flash-or,securities_exemption,regulatory,securities_exemption,10,10,200,0,0.000000,0,0,0.000000
gemini3-flash-or,form_d_fields,regulatory,form_d_field_value,2,2,40,0,0.000000,0,0,0.000000
gemini3-flash-or,s1_use_of_proceeds,regulatory,s1_use_of_proceeds,5,5,100,0,0.000000,0,0,0.000000
gemini3-flash-or,s1_risk_factors,regulatory,s1_risk_factors,5,5,100,0,0.000000,0,0,0.000000
gemini3-flash-or,financial_statement_qa,regulatory,financial_statement_qa,5,5,100,0,0.000000,0,0,0.000000
gemini3-flash-or,flag_offmarket_liqpref,risk_flag,flag_offmarket_liqpref,10,10,200,1,0.100000,0,0,0.000000
gemini3-flash-or,flag_full_ratchet,risk_flag,flag_full_ratchet,7,7,140,0,0.000000,0,0,0.000000
gemini3-flash-or,flag_uncapped_participation,risk_flag,flag_uncapped_participation,13,13,260,0,0.000000,0,0,0.000000
gemini3-flash-or,flag_missing_pro_rata,risk_flag,flag_missing_pro_rata,4,4,80,0,0.000000,0,0,0.000000
gemini3-flash-or,flag_internal_inconsistency,risk_flag,flag_internal_inconsistency,5,5,100,1,0.200000,0,0,0.000000
haiku-4.5-direct,post_money_valuation,priced_equity,post_money_valuation,4,4,80,0,0.000000,0,0,0.000000
haiku-4.5-direct,pre_vs_post_money,priced_equity,pre_vs_post_money,19,19,380,0,0.000000,0,0,0.000000
haiku-4.5-direct,price_per_share,priced_equity,price_per_share,8,8,160,0,0.000000,0,0,0.000000
haiku-4.5-direct,round_size,priced_equity,round_size,10,10,200,0,0.000000,0,0,0.000000
haiku-4.5-direct,per_investor_allocation,priced_equity,per_investor_allocation,5,5,100,0,0.000000,0,0,0.000000
haiku-4.5-direct,liquidation_preference_multiple,priced_equity,liquidation_preference_multiple,9,9,180,1,0.111111,0,0,0.000000
haiku-4.5-direct,participation_type,priced_equity,participation_type,18,18,360,0,0.000000,0,0,0.000000
haiku-4.5-direct,participation_cap,priced_equity,participation_cap,3,3,60,0,0.000000,0,0,0.000000
haiku-4.5-direct,preference_seniority,priced_equity,preference_seniority,11,11,220,0,0.000000,0,0,0.000000
haiku-4.5-direct,dividend_rate_pct,priced_equity,dividend_rate_pct,6,6,120,0,0.000000,0,0,0.000000
haiku-4.5-direct,dividend_cumulative,priced_equity,dividend_cumulative,16,16,320,0,0.000000,0,0,0.000000
haiku-4.5-direct,antidilution_type,priced_equity,antidilution_type,5,5,100,0,0.000000,0,0,0.000000
haiku-4.5-direct,antidilution_base,priced_equity,antidilution_base,10,10,200,0,0.000000,0,0,0.000000
haiku-4.5-direct,conversion_ratio,priced_equity,conversion_ratio,5,5,100,0,0.000000,0,0,0.000000
haiku-4.5-direct,auto_conversion_trigger,priced_equity,auto_conversion_trigger,5,5,100,0,0.000000,0,0,0.000000
haiku-4.5-direct,redemption_rights,priced_equity,redemption_rights,10,10,200,1,0.100000,0,0,0.000000
haiku-4.5-direct,safe_valuation_cap,convertibles,safe_valuation_cap,8,8,160,0,0.000000,0,0,0.000000
haiku-4.5-direct,safe_discount_rate,convertibles,safe_discount_rate,9,9,180,0,0.000000,0,0,0.000000
haiku-4.5-direct,safe_cap_vs_discount_applies,convertibles,safe_cap_vs_discount_applies,13,13,260,0,0.000000,0,0,0.000000
haiku-4.5-direct,safe_pre_post,convertibles,safe_cap_type,16,16,320,0,0.000000,0,0,0.000000
haiku-4.5-direct,safe_mfn_present,convertibles,safe_mfn_present,7,7,140,0,0.000000,0,0,0.000000
haiku-4.5-direct,safe_pro_rata_side_letter,convertibles,safe_pro_rata_side_letter,15,15,300,0,0.000000,0,0,0.000000
haiku-4.5-direct,note_principal,convertibles,note_principal,7,7,140,0,0.000000,0,0,0.000000
haiku-4.5-direct,note_interest_rate,convertibles,note_interest_rate,6,6,120,0,0.000000,0,0,0.000000
haiku-4.5-direct,note_maturity_date,convertibles,note_maturity_date,3,4,80,0,0.000000,0,0,0.000000
haiku-4.5-direct,note_valuation_cap,convertibles,note_valuation_cap,4,4,80,0,0.000000,0,0,0.000000
haiku-4.5-direct,note_discount,convertibles,note_discount,3,4,80,0,0.000000,0,0,0.000000
haiku-4.5-direct,note_qualified_financing_threshold,convertibles,note_qualified_financing_threshold,2,2,40,0,0.000000,0,0,0.000000
haiku-4.5-direct,current_ownership_pct,cap_table,current_ownership_pct,9,9,180,1,0.111111,0,0,0.000000
haiku-4.5-direct,founder_ownership_pct,cap_table,founder_ownership_pct,3,3,60,1,0.333333,0,0,0.000000
haiku-4.5-direct,investor_ownership_pct,cap_table,investor_ownership_pct,4,4,80,0,0.000000,0,0,0.000000
haiku-4.5-direct,employee_pool_pct,cap_table,employee_pool_pct,1,1,20,0,0.000000,0,0,0.000000
haiku-4.5-direct,option_pool_shuffle,cap_table,option_pool_shuffle,3,3,60,1,0.333333,0,0,0.000000
haiku-4.5-direct,fully_diluted_basis,cap_table,fully_diluted_basis,8,8,160,0,0.000000,0,0,0.000000
haiku-4.5-direct,multi_round_stacked_dilution,cap_table,multi_round_stacked_dilution,5,5,100,0,0.000000,0,0,0.000000
haiku-4.5-direct,liquidation_waterfall_payout,exit_waterfall,liquidation_waterfall_payout,4,4,80,4,1.000000,0,0,0.000000
haiku-4.5-direct,preference_stack_payout,exit_waterfall,preference_stack_payout,2,2,40,0,0.000000,0,0,0.000000
haiku-4.5-direct,convert_vs_preference_decision,exit_waterfall,convert_vs_preference_decision,2,2,40,0,0.000000,0,0,0.000000
haiku-4.5-direct,board_seats_investor,rights_governance,board_seats_investor,9,9,180,0,0.000000,0,0,0.000000
haiku-4.5-direct,protective_provisions,rights_governance,protective_provisions,12,12,240,0,0.000000,0,0,0.000000
haiku-4.5-direct,information_rights,rights_governance,information_rights,12,12,240,0,0.000000,0,0,0.000000
haiku-4.5-direct,pro_rata_rights,rights_governance,pro_rata_rights,12,12,240,0,0.000000,0,0,0.000000
haiku-4.5-direct,rofr_cosale,rights_governance,rofr_cosale,12,12,240,0,0.000000,0,0,0.000000
haiku-4.5-direct,drag_along,rights_governance,drag_along,12,12,240,2,0.166667,0,0,0.000000
haiku-4.5-direct,vesting_acceleration,rights_governance,vesting_acceleration,9,9,180,0,0.000000,0,0,0.000000
haiku-4.5-direct,vesting_schedule,founder_equity,vesting_schedule,9,9,180,0,0.000000,0,0,0.000000
haiku-4.5-direct,cliff_present,founder_equity,cliff_present,12,12,240,0,0.000000,0,0,0.000000
haiku-4.5-direct,acceleration_trigger,founder_equity,acceleration_trigger,13,13,260,0,0.000000,0,0,0.000000
haiku-4.5-direct,option_strike_409a,founder_equity,option_strike_409a,7,7,140,0,0.000000,0,0,0.000000
haiku-4.5-direct,exercise_window,founder_equity,exercise_window,5,5,100,0,0.000000,0,0,0.000000
haiku-4.5-direct,securities_exemption,regulatory,securities_exemption,10,10,200,0,0.000000,0,0,0.000000
